SOUP,SOUPTC,SOUPANOM
SOUP002,SOUPTC010,
SOUP002,,SOUPANOM004
SOUP003,SOUPTC011,
SOUP003,,SOUPANOM001
SOUP003,,SOUPANOM002
SOUP003,,SOUPANOM003
SOUP003,,SOUPANOM006
SOUP004,SOUPTC012,
SOUP005,SOUPTC007,
SOUP006,,
SOUP007,SOUPTC001,
SOUP008,SOUPTC002,
SOUP008,SOUPTC013,
SOUP009,SOUPTC003,
SOUP009,SOUPTC004,
SOUP010,SOUPTC006,
SOUP010,SOUPTC014,
SOUP011,SOUPTC008,
SOUP011,SOUPTC009,
SOUP012,SOUPTC015,
SOUP013,SOUPTC016,
SOUP014,SOUPTC017,
SOUP015,SOUPTC018,
SOUP016,SOUPTC019,
SOUP017,SOUPTC020,
SOUP017,,SOUPANOM005
SOUP018,SOUPTC021,
SOUP019,,
SOUP020,SOUPTC022,
SOUP021,SOUPTC023,
SOUP022,SOUPTC024,
SOUP023,SOUPTC024,
SOUP023,,SOUPANOM001
SOUP024,SOUPTC005,
SOUP024,SOUPTC025,
SOUP025,SOUPTC026,
